LOCATION,REGION,SQFT,WGTADJ,PRICE
1,4,910.0,1.0442,96000
1,4,1800.0,1.0442,170000
3,4,910.0,1.0442,96000
2,4,910.0,1.0442,96000
1,4,1200.0,1.0442,220000
1,4,1400.0,1.0442,140000
1,4,1800.0,1.0442,170000
3,4,1800.0,1.0442,300000
3,3,1100.0,1.0442,120000
2,3,1900.0,1.0442,160000
3,3,1800.0,1.0442,170000
3,3,1500.0,1.0442,130000
3,3,,1.0442,210000
1,3,1100.0,1.0442,150000
3,3,2000.0,1.0442,180000
2,3,1500.0,1.0442,150000
2,3,1900.0,1.0442,140000
2,3,1700.0,1.0442,160000
1,4,1200.0,1.0442,140000
1,4,1400.0,1.0442,140000
2,2,1800.0,1.0442,160000
2,2,1900.0,1.0442,170000
1,2,2400.0,1.0442,200000
2,2,1100.0,1.0442,130000
1,2,1600.0,1.0442,150000
1,2,1100.0,1.0442,130000
1,2,1500.0,1.0442,150000
1,2,1500.0,1.0442,150000
1,2,1300.0,1.0442,140000
3,3,2000.0,1.0442,180000
3,3,1600.0,1.0442,130000
2,3,2000.0,1.0442,100000
3,3,1900.0,1.0442,170000
3,3,,1.0442,170000
1,2,1600.0,1.0442,150000
1,2,1100.0,1.0442,89000
3,2,1800.0,1.0442,120000
1,2,1600.0,1.0442,150000
1,2,2400.0,1.0442,250000
2,2,1800.0,1.0442,140000
1,2,1600.0,1.0442,150000
1,2,1600.0,1.0442,160000
1,2,1800.0,1.0442,120000
3,3,1600.0,1.0442,150000
3,3,1900.0,1.0442,150000
3,3,,1.0442,150000
2,3,2100.0,1.0442,190000
1,2,1700.0,1.0442,140000
3,2,1300.0,1.0442,110000
2,2,2000.0,1.0442,150000
3,2,1900.0,1.0442,150000
3,4,2000.0,1.0442,180000
3,4,1200.0,1.0442,130000
3,2,1300.0,1.0442,140000
1,2,1700.0,1.0442,150000
2,2,2400.0,1.0442,250000
2,4,1500.0,1.0442,96000
2,4,2000.0,1.0442,140000
3,1,1300.0,1.0442,130000
1,1,1600.0,1.0442,150000
2,3,1900.0,1.0442,160000
3,3,1900.0,1.0442,120000
3,2,2400.0,1.0442,170000
1,2,1300.0,1.0442,89000
2,3,1900.0,1.0442,240000
2,4,2000.0,1.0442,96000
3,4,1700.0,1.0442,180000
2,4,1800.0,1.0442,96000
2,4,1800.0,1.0442,160000
2,4,1800.0,1.0442,110000
3,4,2000.0,1.0442,120000
2,4,1800.0,1.0442,170000
2,4,1900.0,1.0442,170000
3,1,1700.0,1.0442,96000
1,1,1700.0,1.0442,150000
3,1,1900.0,1.0442,130000
3,1,990.0,1.0442,85000
1,1,1700.0,1.0442,280000
1,1,1900.0,1.0442,160000
3,1,1700.0,1.0442,85000
2,3,1600.0,1.0442,130000
3,3,1900.0,1.0442,120000
3,3,1900.0,1.0442,170000
3,3,1600.0,1.0442,130000
3,3,1600.0,1.0442,120000
