WEIGHT,STATUS,FINALDEST,FOOTINGS,LEASE,LOCATION,REGION,PIERS,SECURED,TITLED,SECTIONS,PRICE,SQFT,BEDROOMS,SHIPMONTH,WGTADJ,CONTROL,jstatus,jprice,jsqft,jbedroom,jlease,jfinaldest,jtitle,jsecured,jlocation,jfootings,jpiers
11.45,2,1,3,2,1,1,1,1,2,1,76000,1100,3,202201,0.9369,22010058,2,2,2,2,2,2,2,2,2,2,2
69.1571,2,1,4,2,2,3,1,1,2,1,73000,1200,3,202201,0.9369,22010059,2,2,2,2,2,2,2,2,2,2,2
69.1571,2,1,5,2,3,3,1,1,2,1,90000,1200,3,202201,0.9369,22010060,1,1,1,1,1,1,1,1,1,1,1
69.1571,2,1,3,2,1,3,1,1,2,1,98000,1200,3,202201,0.9369,22010061,2,2,2,2,2,2,1,2,2,2,2
69.1571,2,1,5,2,3,3,1,1,2,1,65000,840,1,202201,0.9369,22010062,2,2,2,2,2,2,2,2,2,2,2
69.1571,2,1,3,2,3,3,1,1,2,1,100000,1200,3,202201,0.9369,22010063,2,2,2,2,2,2,2,2,2,2,2
69.1571,2,1,5,2,2,3,1,1,2,1,53000,960,1,202201,0.9369,22010064,2,2,2,2,2,2,2,2,2,2,2
69.1571,1,1,4,2,1,3,1,1,3,1,96000,900,1,202201,0.9369,22010065,2,2,2,2,2,2,2,2,2,2,2
69.1571,2,1,3,2,2,3,1,1,2,1,84000,1100,1,202201,0.9369,22010066,2,1,2,2,2,2,2,1,2,1,1
15.7455,1,1,5,2,1,2,1,1,1,1,75000,1300,3,202201,0.9369,22010067,2,2,2,2,2,2,2,2,2,2,2
69.1571,2,1,2,2,2,3,0,0,2,1,68000,1200,3,202201,0.9369,22010068,2,2,2,2,2,2,2,2,2,2,2
69.1571,2,1,1,2,1,3,0,0,2,1,53000,1200,3,202201,0.9369,22010069,2,2,2,2,2,2,2,2,2,2,2
18.5789,2,1,1,2,3,4,0,0,2,1,71000,820,1,202201,0.9369,22010070,1,1,1,1,1,1,1,2,1,1,2
18.5789,2,1,1,2,1,1,0,0,1,1,90000,1200,3,202201,0.9369,22010071,2,1,1,1,1,2,1,2,2,1,2
11.45,2,1,1,2,1,1,0,0,2,1,80000,1000,1,202201,0.9369,22010072,2,1,1,1,1,2,1,2,2,1,2
11.45,2,1,1,2,3,1,0,0,2,1,82000,1100,3,202201,0.9369,22010073,1,1,1,1,1,1,1,2,1,1,2
69.1571,1,2,9,2,9,3,9,9,9,1,99000,660,1,202201,0.9369,22010074,2,2,2,2,2,2,3,3,3,3,3
69.1571,1,2,9,2,9,3,9,9,9,1,53000,660,1,202201,0.9369,22010075,1,1,1,1,1,1,3,3,3,3,3
15.7455,2,2,9,2,9,2,9,9,9,1,89000,1200,3,202201,0.9369,22010076,1,1,1,1,1,1,3,3,3,3,3
15.7455,1,2,9,2,9,2,9,9,9,1,87000,1200,3,202201,0.9369,22010077,1,1,1,1,1,1,3,3,3,3,3
69.1571,1,2,9,2,9,3,9,9,9,1,92000,1200,3,202201,0.9369,22010078,2,2,2,2,2,2,3,3,3,3,3
15.7455,1,2,9,2,9,2,9,9,9,1,120000,1200,3,202201,0.9369,22010079,2,2,2,2,2,2,3,3,3,3,3
69.1571,1,2,9,2,9,3,9,9,9,1,88000,1200,3,202201,0.9369,22010080,2,2,2,2,2,2,3,3,3,3,3
18.5789,1,2,9,2,9,4,9,9,9,1,71000,820,1,202201,0.9369,22010081,1,1,1,1,1,1,3,3,3,3,3
69.1571,1,2,9,2,9,3,9,9,9,1,72000,840,1,202201,0.9369,22010082,1,1,1,1,1,1,3,3,3,3,3
69.1571,1,2,9,2,9,3,9,9,9,1,94000,1300,3,202201,0.9369,22010083,2,1,1,1,1,1,3,3,3,3,3
69.1571,1,2,9,2,9,3,9,9,9,1,90000,1200,3,202201,0.9369,22010084,1,1,1,1,1,1,3,3,3,3,3
15.7455,1,2,9,2,9,2,9,9,9,1,70000,1200,3,202201,0.9369,22010085,2,2,2,2,2,2,3,3,3,3,3
15.7455,1,2,9,2,9,2,9,9,9,1,96000,1300,3,202201,0.9369,22010086,2,2,2,2,2,2,3,3,3,3,3
15.7455,1,2,9,2,9,2,9,9,9,1,89000,1200,3,202201,0.9369,22010087,2,2,2,2,2,2,3,3,3,3,3
69.1571,1,2,9,2,9,3,9,9,9,1,69000,660,1,202201,0.9369,22010088,1,1,1,1,1,1,3,3,3,3,3
69.1571,1,2,9,2,9,3,9,9,9,1,92000,1200,3,202201,0.9369,22010089,1,1,1,1,1,1,3,3,3,3,3
69.1571,1,2,9,2,9,3,9,9,9,1,84000,1200,3,202201,0.9369,22010090,2,2,2,2,2,2,3,3,3,3,3
15.7455,1,2,9,2,9,2,9,9,9,1,94000,1300,3,202201,0.9369,22010091,1,1,1,1,1,1,3,3,3,3,3
11.45,1,2,9,2,9,1,9,9,9,1,93000,1000,1,202201,0.9369,22010092,2,2,2,2,2,2,3,3,3,3,3
15.7455,1,2,9,2,9,2,9,9,9,1,56000,920,3,202201,0.9369,22010093,2,2,2,2,2,2,3,3,3,3,3
69.1571,1,2,9,2,9,3,9,9,9,1,53000,660,1,202201,0.9369,22010094,2,2,2,2,2,2,3,3,3,3,3
18.5789,1,2,9,2,9,4,9,9,9,1,92000,920,3,202201,0.9369,22010095,2,2,2,2,2,2,3,3,3,3,3
15.7455,1,2,9,2,9,2,9,9,9,1,87000,1200,3,202201,0.9369,22010096,1,1,1,1,1,1,3,3,3,3,3
11.45,1,2,9,2,9,1,9,9,9,1,82000,1100,3,202201,0.9369,22010097,2,1,2,2,2,2,3,3,3,3,3
15.7455,1,2,9,2,9,2,9,9,9,1,78000,960,3,202201,0.9369,22010098,2,1,2,2,2,2,3,3,3,3,3
69.1571,1,2,9,2,9,3,9,9,9,1,130000,1300,1,202201,0.9369,22010099,2,2,2,2,2,2,3,3,3,3,3
15.7455,1,2,9,2,9,2,9,9,9,1,76000,1200,3,202201,0.9369,22010100,2,2,2,2,2,2,3,3,3,3,3
69.1571,1,2,9,2,9,3,9,9,9,1,88000,1100,1,202201,0.9369,22010101,2,2,2,2,2,2,3,3,3,3,3
15.7455,1,2,9,1,9,2,9,9,9,1,9,1300,3,202201,0.9369,22010102,2,3,1,1,2,2,3,3,3,3,3
15.7455,1,2,9,2,9,2,9,9,9,1,90000,1200,3,202201,0.9369,22010103,1,1,1,1,1,1,3,3,3,3,3
15.7455,1,2,9,2,9,2,9,9,9,1,90000,1200,3,202201,0.9369,22010104,1,1,1,1,1,1,3,3,3,3,3
15.7455,2,2,9,2,9,2,9,9,9,1,85000,1100,3,202201,0.9369,22010105,2,2,2,2,2,2,3,3,3,3,3
69.1571,1,2,9,2,9,3,9,9,9,1,100000,1300,3,202201,0.9369,22010106,2,2,2,2,2,2,3,3,3,3,3
15.7455,1,2,9,2,9,2,9,9,9,1,78000,960,3,202201,0.9369,22010107,2,1,2,2,2,2,3,3,3,3,3
69.1571,1,2,9,2,9,3,9,9,9,1,90000,1200,3,202201,0.9369,22010108,1,1,1,1,1,1,3,3,3,3,3
11.45,1,2,9,2,9,1,9,9,9,1,68000,870,1,202201,0.9369,22010109,2,2,2,2,2,2,3,3,3,3,3
69.1571,1,2,9,2,9,3,9,9,9,1,90000,1200,3,202201,0.9369,22010110,2,2,2,2,2,2,3,3,3,3,3
15.7455,1,2,9,2,9,2,9,9,9,1,90000,1200,3,202201,0.9369,22010111,1,1,1,1,1,1,3,3,3,3,3
15.7455,1,2,9,2,9,2,9,9,9,1,83000,1300,3,202201,0.9369,22010112,2,2,2,2,2,2,3,3,3,3,3
69.1571,2,2,9,2,9,3,9,9,9,1,130000,1200,3,202201,0.9369,22010113,2,2,2,2,2,2,3,3,3,3,3
15.7455,1,2,9,2,9,2,9,9,9,1,80000,1300,3,202201,0.9369,22010114,2,2,2,2,2,2,3,3,3,3,3
11.45,1,2,9,2,9,1,9,9,9,1,82000,1100,3,202201,0.9369,22010115,1,1,1,1,1,1,3,3,3,3,3
15.7455,1,2,9,2,9,2,9,9,9,1,90000,1200,3,202201,0.9369,22010116,1,1,1,1,1,1,3,3,3,3,3
69.1571,2,2,9,2,9,3,9,9,9,1,110000,1200,3,202201,0.9369,22010117,2,2,2,2,2,2,3,3,3,3,3
15.7455,1,2,9,2,9,2,9,9,9,1,95000,1200,3,202201,0.9369,22010118,2,2,2,2,2,2,3,3,3,3,3
69.1571,1,2,9,2,9,3,9,9,9,1,90000,1200,3,202201,0.9369,22010119,1,1,1,1,1,1,3,3,3,3,3
15.7455,1,2,9,2,9,2,9,9,9,1,94000,1300,3,202201,0.9369,22010120,1,1,1,1,1,1,3,3,3,3,3
69.1571,1,2,9,2,9,3,9,9,9,1,87000,1200,3,202201,0.9369,22010121,1,1,1,1,1,1,3,3,3,3,3
15.7455,1,2,9,2,9,2,9,9,9,1,90000,1200,1,202201,0.9369,22010122,1,1,1,1,1,1,3,3,3,3,3
1.0,3,9,9,9,9,5,9,9,9,1,9,9,9,202201,0.9369,22010123,2,3,3,3,3,3,3,3,3,3,3
1.0,3,9,9,9,9,5,9,9,9,1,9,9,9,202201,0.9369,22010124,2,3,3,3,3,3,3,3,3,3,3
1.0,3,9,9,9,9,5,9,9,9,1,9,9,9,202201,0.9369,22010125,2,3,3,3,3,3,3,3,3,3,3
1.0,3,9,9,9,9,5,9,9,9,1,9,9,9,202201,0.9369,22010126,2,3,3,3,3,3,3,3,3,3,3
1.0,3,9,9,9,9,5,9,9,9,1,9,9,9,202201,0.9369,22010127,2,3,3,3,3,3,3,3,3,3,3
1.0,3,9,9,9,9,5,9,9,9,1,9,9,9,202201,0.9369,22010128,2,3,3,3,3,3,3,3,3,3,3
1.0,3,9,9,9,9,5,9,9,9,1,9,9,9,202201,0.9369,22010129,2,3,3,3,3,3,3,3,3,3,3
1.0,3,9,9,9,9,5,9,9,9,1,9,9,9,202201,0.9369,22010130,2,3,3,3,3,3,3,3,3,3,3
1.0,3,9,9,9,9,5,9,9,9,1,9,9,9,202201,0.9369,22010131,2,3,3,3,3,3,3,3,3,3,3
1.0,3,9,9,9,9,5,9,9,9,1,9,9,9,202201,0.9369,22010132,2,3,3,3,3,3,3,3,3,3,3
1.0,3,9,9,9,9,5,9,9,9,1,9,9,9,202201,0.9369,22010133,2,3,3,3,3,3,3,3,3,3,3
1.0,3,9,9,9,9,5,9,9,9,1,9,9,9,202201,0.9369,22010134,2,3,3,3,3,3,3,3,3,3,3
1.0,3,9,9,9,9,5,9,9,9,1,9,9,9,202201,0.9369,22010135,2,3,3,3,3,3,3,3,3,3,3
1.0,3,9,9,9,9,5,9,9,9,1,9,9,9,202201,0.9369,22010136,2,3,3,3,3,3,3,3,3,3,3
1.0,3,9,9,9,9,5,9,9,9,1,9,9,9,202201,0.9369,22010137,2,3,3,3,3,3,3,3,3,3,3
1.0,3,9,9,9,9,5,9,9,9,1,9,9,9,202201,0.9369,22010138,2,3,3,3,3,3,3,3,3,3,3
1.0,3,9,9,9,9,5,9,9,9,1,9,9,9,202201,0.9369,22010139,2,3,3,3,3,3,3,3,3,3,3
1.0,3,9,9,9,9,5,9,9,9,1,9,9,9,202201,0.9369,22010140,2,3,3,3,3,3,3,3,3,3,3
1.0,3,9,9,9,9,5,9,9,9,1,9,9,9,202201,0.9369,22010141,2,3,3,3,3,3,3,3,3,3,3
1.0,3,9,9,9,9,5,9,9,9,1,9,9,9,202201,0.9369,22010142,2,3,3,3,3,3,3,3,3,3,3
69.1571,3,9,9,9,9,5,9,9,9,1,9,9,9,202201,0.9369,22010143,1,3,3,3,3,3,3,3,3,3,3
1.0,3,9,9,9,9,5,9,9,9,1,9,9,9,202201,0.9369,22010144,2,3,3,3,3,3,3,3,3,3,3
1.0,3,9,9,9,9,5,9,9,9,1,9,9,9,202201,0.9369,22010145,2,3,3,3,3,3,3,3,3,3,3
1.0,3,9,9,9,9,5,9,9,9,1,9,9,9,202201,0.9369,22010146,2,3,3,3,3,3,3,3,3,3,3
1.0,3,9,9,9,9,5,9,9,9,1,9,9,9,202201,0.9369,22010147,2,3,3,3,3,3,3,3,3,3,3
1.0,3,9,9,9,9,5,9,9,9,1,9,9,9,202201,0.9369,22010148,2,3,3,3,3,3,3,3,3,3,3
1.0,3,9,9,9,9,5,9,9,9,1,9,9,9,202201,0.9369,22010149,2,3,3,3,3,3,3,3,3,3,3
1.0,3,9,9,9,9,5,9,9,9,1,9,9,9,202201,0.9369,22010150,2,3,3,3,3,3,3,3,3,3,3
1.0,3,9,9,9,9,5,9,9,9,1,9,9,9,202201,0.9369,22010151,2,3,3,3,3,3,3,3,3,3,3
1.0,3,9,9,9,9,5,9,9,9,1,9,9,9,202201,0.9369,22010152,2,3,3,3,3,3,3,3,3,3,3
1.0,3,9,9,9,9,5,9,9,9,1,9,9,9,202201,0.9369,22010153,2,3,3,3,3,3,3,3,3,3,3
1.0,3,9,9,9,9,5,9,9,9,1,9,9,9,202201,0.9369,22010154,2,3,3,3,3,3,3,3,3,3,3
1.0,3,9,9,9,9,5,9,9,9,1,9,9,9,202201,0.9369,22010155,2,3,3,3,3,3,3,3,3,3,3
69.1571,3,9,9,9,9,5,9,9,9,1,9,9,9,202201,0.9369,22010156,1,3,3,3,3,3,3,3,3,3,3
69.1571,3,9,9,9,9,5,9,9,9,1,9,9,9,202201,0.9369,22010157,1,3,3,3,3,3,3,3,3,3,3
69.1571,3,9,9,9,9,5,9,9,9,1,9,9,9,202201,0.9369,22010158,2,3,3,3,3,3,3,3,3,3,3
34.5786,2,1,4,2,3,3,1,1,2,2,140000,2000,3,202201,1.0616,22010159,2,2,2,2,2,2,2,2,2,2,2
34.5786,2,1,3,2,2,3,1,1,2,2,130000,1700,3,202201,1.0616,22010160,2,2,2,2,2,2,2,2,2,2,2
34.5786,2,1,4,2,3,3,1,1,2,2,140000,1700,3,202201,1.0616,22010161,2,2,2,2,2,2,2,2,2,2,2
6.193,1,1,3,2,3,5,1,1,2,3,270000,2600,3,202201,1.0616,22010162,2,2,2,2,2,2,2,2,2,2,2
9.2895,2,1,5,2,3,4,1,1,1,2,210000,1200,3,202201,1.0616,22010163,2,2,2,2,2,2,2,2,2,2,1
9.2895,1,1,3,2,3,4,3,2,1,2,140000,1300,1,202201,1.0616,22010164,2,2,2,2,2,2,2,2,2,2,2
9.2895,2,1,3,2,2,4,1,1,1,2,130000,1700,3,202201,1.0616,22010165,2,2,2,2,2,2,2,2,2,2,2
9.2895,2,1,5,2,3,4,3,1,2,2,190000,2200,3,202201,1.0616,22010166,2,2,2,2,2,2,2,2,2,2,2
9.2895,2,1,3,2,1,4,3,1,2,2,140000,1500,3,202201,1.0616,22010167,1,1,1,1,1,1,1,1,1,1,1
9.2895,2,1,3,2,2,4,3,1,2,2,210000,1600,3,202201,1.0616,22010168,2,2,2,2,2,2,2,2,2,2,2
9.2895,2,1,3,2,1,4,1,1,2,2,180000,1400,3,202201,1.0616,22010169,2,2,2,2,2,2,2,2,2,2,2
9.2895,2,1,4,2,1,4,3,1,2,2,160000,2000,3,202201,1.0616,22010170,1,1,1,1,1,1,1,1,1,1,1
9.2895,2,1,3,2,1,4,1,1,2,2,120000,910,1,202201,1.0616,22010171,2,2,2,2,2,2,2,2,2,2,2
9.2895,2,1,3,1,1,4,3,1,2,2,9,1600,3,202201,1.0616,22010172,2,3,1,1,1,2,1,1,1,1,1
9.2895,2,1,4,2,2,4,3,2,1,2,150000,1500,3,202201,1.0616,22010173,2,2,2,2,2,2,2,2,2,2,2
34.5786,2,1,4,2,3,3,1,3,2,2,87000,1700,3,202201,1.0616,22010174,2,2,2,2,2,2,2,2,2,2,2
34.5786,2,1,3,2,3,3,1,2,2,2,140000,1900,3,202201,1.0616,22010175,2,2,2,2,2,2,2,2,2,2,2
34.5786,2,1,4,2,3,3,1,1,2,2,130000,2100,3,202201,1.0616,22010176,2,2,2,2,2,2,2,2,2,2,2
9.2895,2,1,3,2,2,4,4,3,1,2,96000,910,3,202201,1.0616,22010177,2,2,2,2,2,2,2,2,2,2,2
9.2895,2,1,3,2,1,4,3,1,2,2,140000,1600,3,202201,1.0616,22010178,1,1,1,1,1,1,1,1,1,1,1
9.2895,2,1,4,2,1,4,3,1,1,2,120000,1100,3,202201,1.0616,22010179,1,1,1,1,1,1,1,1,1,1,1
9.2895,1,1,4,1,1,4,3,1,2,2,9,1600,3,202201,1.0616,22010180,1,3,1,1,1,1,1,1,1,1,1
9.2895,2,1,3,2,1,4,3,1,2,2,120000,1200,1,202201,1.0616,22010181,2,1,1,1,1,2,1,1,2,1,1
9.2895,2,1,4,2,1,4,3,1,2,2,200000,1500,3,202201,1.0616,22010182,2,2,2,2,2,2,2,2,2,2,2
9.2895,2,1,3,2,2,4,1,1,2,2,120000,910,1,202201,1.0616,22010183,2,1,2,2,2,2,2,2,2,2,2
9.2895,1,1,3,1,1,4,3,1,2,2,9,1100,3,202201,1.0616,22010184,1,3,1,1,1,1,1,1,1,1,1
9.2895,2,1,3,2,3,4,3,2,1,2,140000,1600,3,202201,1.0616,22010185,2,2,2,2,2,2,2,2,2,2,2
9.2895,2,1,4,2,1,4,3,1,2,2,260000,1200,1,202201,1.0616,22010186,2,2,2,2,2,2,2,2,2,2,2
9.2895,2,1,4,2,1,4,3,1,2,2,150000,1600,3,202201,1.0616,22010187,1,1,1,1,1,1,1,1,1,1,1
9.2895,1,1,4,2,1,4,3,1,2,2,150000,1600,3,202201,1.0616,22010188,1,1,1,1,1,1,1,1,1,1,1
9.2895,2,1,4,1,1,4,3,1,2,2,9,910,1,202201,1.0616,22010189,1,3,1,1,1,1,1,1,1,1,1
9.2895,2,1,4,2,1,4,3,1,2,2,130000,1300,1,202201,1.0616,22010190,1,1,1,1,1,1,1,1,1,1,1
9.2895,2,1,3,2,1,4,1,1,2,2,160000,1800,3,202201,1.0616,22010191,1,1,1,1,1,1,1,1,1,1,1
9.2895,2,1,3,2,1,4,1,1,2,2,180000,2200,3,202201,1.0616,22010192,1,1,1,1,1,1,1,1,1,1,1
5.725,2,1,3,2,2,1,1,1,2,2,140000,1300,3,202201,1.0616,22010193,2,2,2,2,2,2,2,2,2,2,2
34.5786,2,1,4,2,3,3,1,2,2,2,170000,2100,3,202201,1.0616,22010194,1,1,1,1,1,1,1,1,1,1,1
34.5786,1,1,3,2,2,3,1,1,2,2,200000,2500,3,202201,1.0616,22010195,2,2,2,2,2,2,2,2,2,2,2
34.5786,2,1,5,2,3,3,1,1,2,2,110000,1700,3,202201,1.0616,22010196,2,2,2,2,2,2,2,2,2,2,2
34.5786,2,1,3,2,3,3,1,1,2,2,240000,2500,3,202201,1.0616,22010197,2,2,2,2,2,2,2,2,2,2,2
34.5786,2,1,4,2,3,3,1,1,2,2,140000,1600,3,202201,1.0616,22010198,2,1,1,1,1,2,1,1,1,1,1
34.5786,2,1,4,2,2,3,1,1,2,2,87000,1100,3,202201,1.0616,22010199,2,2,2,2,2,2,2,2,2,2,2
34.5786,2,1,3,2,3,3,1,1,2,2,150000,2100,3,202201,1.0616,22010200,2,2,2,2,2,2,2,2,2,2,2
34.5786,2,1,5,2,3,3,1,1,2,2,160000,1900,3,202201,1.0616,22010201,1,1,1,1,1,1,1,1,1,1,1
34.5786,2,1,3,2,3,3,1,1,2,2,140000,1600,3,202201,1.0616,22010202,1,1,1,1,1,1,1,1,1,1,1
6.193,2,1,3,2,3,5,1,1,2,3,310000,3100,3,202201,1.0616,22010203,2,2,2,2,2,2,2,2,2,2,2
7.8727,2,1,3,2,2,2,1,1,2,2,170000,2000,3,202201,1.0616,22010204,2,1,2,2,2,2,2,2,2,2,2
7.8727,2,1,3,2,2,2,1,1,2,2,130000,1300,3,202201,1.0616,22010205,2,1,2,2,2,2,2,2,2,2,2
7.8727,2,1,3,2,2,2,1,1,2,2,170000,2000,3,202201,1.0616,22010206,2,1,2,2,2,2,2,2,2,2,2
