WEIGHT,STATUS,FINALDEST,FOOTINGS,LEASE,LOCATION,REGION,PIERS,SECURED,TITLED,SECTIONS,PRICE,SQFT,BEDROOMS,WGTADJ,jstatus,jprice,jsqft,jbedroom,jlease,jfinaldest,jtitle,jsecured,jlocation,jfootings,jpiers
7.8727,2,1,3,2,1,2,1,1,2,2,140000,1400,1,1.0616,0,0,0,0,0,0,0,0,0,0,0
34.5786,2,1,4,2,3,3,1,3,2,2,87000,1500,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
9.2895,1,1,3,2,2,4,1,1,2,2,120000,1600,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
9.2895,1,1,3,2,2,4,1,1,2,2,110000,1100,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
6.193,2,1,3,2,2,5,1,1,2,3,180000,2900,3,1.0616,1,1,0,0,1,1,1,1,1,1,1
9.2895,2,1,3,2,3,4,1,1,1,2,210000,2100,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
9.2895,2,1,3,2,2,4,1,1,1,2,120000,1100,1,1.0616,0,0,0,0,0,0,0,0,0,0,0
9.2895,2,1,3,2,2,4,1,1,2,2,140000,1500,3,1.0616,0,0,0,0,0,0,0,0,0,0,0
6.193,2,1,3,2,3,5,1,1,2,3,220000,2900,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
5.725,1,1,3,2,1,1,1,1,2,2,210000,1700,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
34.5786,2,1,3,2,2,1,1,1,2,2,170000,1900,3,1.0616,1,0,1,1,1,1,1,1,1,1,1
5.725,2,1,3,2,2,1,1,1,1,2,85000,1200,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
5.725,2,1,3,2,1,1,1,1,2,2,130000,1300,3,1.0616,0,0,0,0,0,0,0,0,0,0,0
5.725,2,1,3,2,2,1,1,1,2,2,180000,1300,1,1.0616,1,1,1,1,1,1,1,1,1,1,1
5.725,2,1,3,2,1,1,1,1,2,2,140000,1600,3,1.0616,0,0,0,0,0,0,0,0,0,0,0
5.725,2,1,3,2,1,1,1,1,1,2,140000,1600,3,1.0616,0,0,0,0,0,0,0,0,0,0,0
5.725,2,1,4,2,1,1,1,1,3,2,210000,1700,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
5.725,2,1,3,2,1,1,1,2,2,2,140000,1600,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
5.725,2,1,3,2,3,1,1,1,2,2,100000,1300,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
34.5786,2,1,3,2,2,3,1,1,2,2,87000,1600,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
34.5786,2,1,3,2,3,3,1,1,2,2,170000,1700,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
34.5786,2,1,3,2,2,3,1,1,1,2,240000,2500,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
34.5786,2,1,3,2,2,3,1,1,2,2,180000,2300,3,1.0616,0,0,0,0,0,0,0,0,0,0,0
34.5786,2,1,3,2,3,3,1,1,2,2,140000,1800,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
34.5786,2,1,3,2,2,3,1,3,2,2,170000,2000,3,1.0616,0,0,0,0,0,0,0,0,0,0,0
34.5786,2,1,3,2,3,3,1,1,2,2,130000,2300,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
