LOCATION,REGION,PRICE,SQFT,WGTADJ
1,1,140000,1600,1.0616
3,1,100000,1300,1.0616
2,3,87000,1600,1.0616
3,3,170000,1700,1.0616
2,3,240000,2500,1.0616
2,3,180000,2300,1.0616
3,3,140000,1800,1.0616
2,3,170000,2000,1.0616
3,3,130000,2300,1.0616
2,3,110000,1900,1.0616
3,3,240000,2500,1.0616
3,3,130000,1700,1.0616
3,3,150000,1700,1.0616
3,3,190000,2500,1.0616
3,3,130000,1900,1.0616
2,3,87000,1600,1.0616
3,3,190000,2500,1.0616
3,3,150000,2500,1.0616
2,3,190000,2500,1.0616
3,2,160000,1400,1.0616
3,3,190000,2500,1.0616
3,4,220000,1400,1.0616
3,4,180000,1200,1.0616
3,4,220000,1100,1.0616
1,1,150000,1700,1.0616
3,1,120000,1600,1.0616
1,1,140000,1700,1.0616
1,1,200000,1700,1.0616
1,1,120000,990,1.0616
2,1,280000,1500,1.0616
1,1,130000,1600,1.0616
2,3,170000,2000,1.0616
1,4,150000,1700,1.0616
3,2,110000,1600,1.0616
2,3,210000,2500,1.0616
1,2,160000,2000,1.0616
3,2,120000,2000,1.0616
2,4,140000,1600,1.0616
2,4,230000,2200,1.0616
1,1,110000,990,1.0616
1,1,130000,1200,1.0616
1,1,150000,1700,1.0616
3,1,100000,1200,1.0616
2,1,120000,1600,1.0616
3,1,85000,1300,1.0616
1,1,140000,1600,1.0616
3,3,110000,1600,1.0616
3,4,96000,1200,1.0616
3,1,85000,990,1.0616
3,1,170000,1700,1.0616
1,3,190000,2500,1.0616
2,2,160000,1800,1.0616
1,2,130000,1500,1.0616
2,3,53000,900,0.9875
1,3,85000,1300,0.9875
3,3,99000,1200,0.9875
2,4,75000,900,0.9875
1,4,84000,1100,0.9875
1,4,84000,1100,0.9875
1,4,84000,1100,0.9875
1,3,69000,840,0.9875
3,3,100000,1100,0.9875
3,3,95000,1300,0.9875
1,2,86000,1100,0.9875
1,2,86000,1100,0.9875
1,2,84000,1100,0.9875
3,2,92000,1200,0.9875
1,2,69000,740,0.9875
2,2,120000,1200,0.9875
1,2,120000,1100,0.9875
1,2,56000,1100,0.9875
1,2,84000,1100,0.9875
1,2,88000,1100,0.9875
1,2,80000,990,0.9875
3,3,92000,1200,0.9875
3,3,72000,840,0.9875
3,3,92000,1200,0.9875
1,2,86000,1100,0.9875
1,2,89000,1100,0.9875
1,2,86000,1100,0.9875
1,2,86000,1100,0.9875
1,2,86000,1100,0.9875
3,3,65000,1300,0.9875
3,3,75000,900,0.9875
1,2,87000,1100,0.9875
