PRICE,WEIGHT,SQFT,FINALDEST,LEASE,BEDROOMS,STATUS,REGION,TITLED,SECURED,LOCATION,PIERS
98000.0,69.1571,1200.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0
65000.0,69.1571,840.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0
100000.0,69.1571,1200.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0
53000.0,69.1571,960.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0
96000.0,69.1571,900.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0
84000.0,69.1571,1100.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0
75000.0,15.7455,1300.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0
68000.0,69.1571,1200.0,1.0,2.0,3.0,2.0,3.0,2.0,0.0,2.0,0.0
53000.0,69.1571,1200.0,1.0,2.0,3.0,2.0,3.0,2.0,0.0,1.0,0.0
71000.0,18.5789,820.0,1.0,2.0,1.0,2.0,4.0,2.0,0.0,3.0,0.0
90000.0,18.5789,1200.0,1.0,2.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0
80000.0,11.45,1000.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0
82000.0,11.45,1100.0,1.0,2.0,3.0,2.0,1.0,2.0,0.0,3.0,0.0
99000.0,69.1571,660.0,2.0,2.0,1.0,1.0,3.0,9.0,9.0,9.0,9.0
53000.0,69.1571,660.0,2.0,2.0,1.0,1.0,3.0,9.0,9.0,9.0,9.0
89000.0,15.7455,1200.0,2.0,2.0,3.0,2.0,2.0,9.0,9.0,9.0,9.0
87000.0,15.7455,1200.0,2.0,2.0,3.0,1.0,2.0,9.0,9.0,9.0,9.0
92000.0,69.1571,1200.0,2.0,2.0,3.0,1.0,3.0,9.0,9.0,9.0,9.0
120000.0,15.7455,1200.0,2.0,2.0,3.0,1.0,2.0,9.0,9.0,9.0,9.0
88000.0,69.1571,1200.0,2.0,2.0,3.0,1.0,3.0,9.0,9.0,9.0,9.0
71000.0,18.5789,820.0,2.0,2.0,1.0,1.0,4.0,9.0,9.0,9.0,9.0
72000.0,69.1571,840.0,2.0,2.0,1.0,1.0,3.0,9.0,9.0,9.0,9.0
94000.0,69.1571,1300.0,2.0,2.0,3.0,1.0,3.0,9.0,9.0,9.0,9.0
90000.0,69.1571,1200.0,2.0,2.0,3.0,1.0,3.0,9.0,9.0,9.0,9.0
70000.0,15.7455,1200.0,2.0,2.0,3.0,1.0,2.0,9.0,9.0,9.0,9.0
96000.0,15.7455,1300.0,2.0,2.0,3.0,1.0,2.0,9.0,9.0,9.0,9.0
89000.0,15.7455,1200.0,2.0,2.0,3.0,1.0,2.0,9.0,9.0,9.0,9.0
69000.0,69.1571,660.0,2.0,2.0,1.0,1.0,3.0,9.0,9.0,9.0,9.0
92000.0,69.1571,1200.0,2.0,2.0,3.0,1.0,3.0,9.0,9.0,9.0,9.0
84000.0,69.1571,1200.0,2.0,2.0,3.0,1.0,3.0,9.0,9.0,9.0,9.0
94000.0,15.7455,1300.0,2.0,2.0,3.0,1.0,2.0,9.0,9.0,9.0,9.0
93000.0,11.45,1000.0,2.0,2.0,1.0,1.0,1.0,9.0,9.0,9.0,9.0
56000.0,15.7455,920.0,2.0,2.0,3.0,1.0,2.0,9.0,9.0,9.0,9.0
53000.0,69.1571,660.0,2.0,2.0,1.0,1.0,3.0,9.0,9.0,9.0,9.0
92000.0,18.5789,920.0,2.0,2.0,3.0,1.0,4.0,9.0,9.0,9.0,9.0
82000.0,11.45,1100.0,2.0,2.0,3.0,1.0,1.0,9.0,9.0,9.0,9.0
78000.0,15.7455,960.0,2.0,2.0,3.0,1.0,2.0,9.0,9.0,9.0,9.0
130000.0,69.1571,1300.0,2.0,2.0,1.0,1.0,3.0,9.0,9.0,9.0,9.0
